id	sentence	label
1096439597813374976	that time mtn was withholding peoples monies send to wrong recipients or erroneously sent in billions and governments uccofficial was watching we made noise and till now the matter was never resolved just went asleep but i am glad we are vindicated 	None
1096445905270657024	mtn gb k why dont you go to die my pakapaka gb 	Negative
1096476529532522503	mtn pliz mtn ur internet is very slow pliz work on it its not me or internet users who deported ur ceo wem 	Negative
1096478481167331329	mtn years of cheating ugandans using impunity connivance and suffocating newcomers in telecom industry 	None
1096514650903101442	mtn thanks to mtn 	None
1096519249303126019	dear mtn kindly sort the issue of missed call alerts when phone batteries go off thank u 	None
1096686707234258944	mtn we celebrate your u today 	None
1096714327053209600	mtn thats my point mtn why a minute hushed in this generation of internet min sec is not equal to minutes i hope u consider charging in real time thx royal customer for yrs 	Negative
1096741403940524033	mtn if you have failed to handle issues than let us customers take a fore front 	None
1096819236595474432	mtn mweterezee i have not received my mbs for the deportation of ceo hugs 	Negative
1097082043165536257	mtn you guys i already have an existing data bundle why must i buy another bundle in order for me to share it 	None
1097194786677817344	henryshaykins joy not really mtn has been delivering a great service over the years they will get through this phase we all just need to learn from their experience they will overcome 	None
1097203027054874624	mtn internet is trashier bring back those foreigners sob 	None
1097304540951597056	mtn hello slow network in namugongo what could be the problemno lte at all 	None
1097398984304455680	mtn explain this to me my data connection was off and still u chopped my ka bundle from to in one minute sob just because am a munyankole doesnt mean am the one who is deporting yo fellas 	None
1097405055098109952	i dont think mtn was ready for this tidal app thing for months theyve been trying to rectify an issue for me till now 	None
1097447813816991744	mtn and then boom u start loosing airtime even in ur sleep 	None
1097483557918990336	airtel ive for long complained amp made it clear that i do not want your useless msgs but uve stubonly refused to comply i did the same with mtn but how come they stopped amp for u say i can stop receiving them to eat up my space thx for that 	None
1097520224507740160	when it comes to datai have never seen a thug like mtn 	None
1097592204783161344	igumirab mtn thanks for representing us joy 	None
1097730499089440768	uccofficial we continuously are cheated by mtn on minutes usedi have been a victim on voice bundles for so long please investigate the duration of calls 	Negative
1097758265683918848	mtn please always do the math correctly because of gb can not be you confuse us 	None
1097820451756224512	mtn i lost my line and today filled the due process and up till now am yet to access the networki have restarted my phone severally but nothing has changedi have inboxed the number 	None
1097854051771916290	mtn plz management of mtn ugyour network signal is completely weak sometimes not there in new district of kapelebyong please check it out and help the community thanks 	None
1097859948967530498	mtn currently i travelled out of the place that why u see am on and sending u this msg but it has lasted for long more than month but people have no choice pls do more survey 	None
1097861688932663296	no more excuses of missing out on your fav tv shows because you aint at home mtn gat you sorted 	None
1097899191475585026	mtn jst stole my airtime joycat 	None
1097900740432007169	mtn gim me my airtime back 	None
1097938569325350913	mtn having trouble completing a transaction online actually here on twitter ads 	None
1097939576197390336	mtn it says card declined and it cant charge my funding source momocard 	None
1097977119932583936	mtnugcare mtn i guess the my mtn app kibulamu it cant buy my pakapaka it only functions online kibulamu 	None
1098130264071565318	mtn why do i have to pay ugx to access a ministatement for my mobile money transactions 	None
1098137997525028864	sabalwanyi we call it monthly subscriptionswe keep making noise about mtn cheating ugandans on mbs and call data but these womens bills come like ejaculations 	Negative
1098141833635479554	mtn why is your network so slow 	None
1098158480127680514	airtel freaky friday feels like a week away sob this wednesday gaga is a total joke 	Negative
1098185513222189056	these mtn people have become a joke this gaga offer should be dropped 	None
1098187680544903169	mtn i am in kampala it keeps changing btw h and g 	None
1098245082585673728	mtn this is hogwash putlitterinitsplace download an app load mobile money blah for gb just do away with it we shall use airtime 	None
1098248167722811392	mtn agreed the app is handy cant say the same for that bundle putlitterinitsplace 	None
1098299163039682560	idk whats happening with the mtn network but lately making a call is too much work network is so shitty you spend half the call duration asking the other party if they can hear you or not such a shame 	Negative
1098322228775714816	mtn please help me i got my mtn mobile money line agent on but up to now it never changed its profileviola and danson enterprises ihv gone to mbarara service centre but all in vainthey told me line was counselled my phone no 	None
1098460895716560896	mtn please stop this nonsense where one wants to withdraw savings from mokash and it shows unfortunately it cant proceed with the transaction at this time you can never know when someone is in emergency to need his savings stop rolling out unstable services stop 	None
1098538197146058753	mtn your agents are making our lives difficult they have no float on their phones so painful and annoying pout 	None
1098794360752275456	pyeparfaisal mtn twitter customer care team never allows me to have a second sip of ma drink without followup dm instantly its kind like we are at the same table having a live chat raisedhands 	None
1098822260285153280	babsdorothy mtn guys are doing a dirty on this one been complaining since cz i think they forget that these days we can track these things easily phones show call lengths and all so if i used only mins yet some how have gone of course ill notice 	None
1098857590187020289	dear mtn this is the last week i am using your internet cz i already paid for it it has been trash i have complained and sent screen shots and called customer care and now i am fed up u cant take mins to watch a min video mins to download a mb pdf 	None
1098867940290711552	these jokes mtn should stop so i tried subscribing for internet and you deducted my money then after you inform me how you have a temporary failure like it has just been realized thinking 	None
1098886213250043904	thank you mtn hugs 	None
1099005006961934336	currently in nairobi mtn however i can not recieve any calls yet i can make calls to safaricom and mtn airtel ug 	None
1099022947774271508	mtn please the way your chopping our data is beyond normality please try to adjust 	None
1099120472325804032	mtn why cant i access the mobile money services since yesterday is there a problem 	None
1099127854925778947	mtn those gaga bundles actually just make one to uninstall the mymtn app 	None
1099192770458198016	whats up with mtn when you call their helpline they always are regret the inconvenience caused about something really couldnt mtn work on a more technicalglitchfree approach 	None
1099226607275962368	bashk rolleyes eeh i thought it was only my mtn misbehaving kumbe 	None
1099368249039437827	mtn its faster and fastest when i load less than mb but gb its just faster than a tortoise 	None
1099397053174738944	just making use of mtn g in kisoro before the hike tomorrow 	Positive
1099538135908798464	mtn guys we cant load data more than mbs 	None
1099550484032090112	what is wrong with mtn this morning they are taking my money not giving me services they customer lines are busy is it still worth trusting am so disappointed 	None
1099552208310411264	mtn data lostpaka paka data using mm just keeps chewing my money without giving me my dataohh gosh 	None
1099552637375209472	is it my phone or something wrong because the mtn yange thing deducts money from my mm and i end up not getting the mbz mtn 	None
1099553828813312000	mtn mwetereeze i requested for my pakapaka bundle at but you didnt give e me my free minutes and your customer care number is busy all the time waiting for feedback 	None
1099554225405730817	mtn i have been patient but its really taking longer and am losing out on what i wanted to do 	None
1099559287146328064	mtn hours am still waiting for calls to be initiated or i first wait for more ceos to be deported pout 	None
1099564908918788098	mtn why is the ott tax service unavailable 	None
1099608711268585472	i loaded paka mbs and while the money was deducted i did not get my bundles when i called i got to know that there was a problem so shall my bundles be creditedmtnug 	None
1099626617670942720	so for voice is off i wonder if mtn will give us the minutes weve paid for and couldnt recieve them when we needed them i have had issues before where my data wasnt given to me after resolving data issues 	None
1099634089945190400	whereever is incharge of tapping calls for mtn is doing a crappy job dropping calls we can hear you breathing even before the call connects or is picked if you want to tap do a better job 	None
1099685724817948672	mtn please fix your internet g network in najjera its very annoying especially in this era of fast internet network 	None
1099691933604163584	mtn how come out data is disappearing so fast us customers had nothing to do with the deportations 	None
1099700899973394433	mtn this morning i lorded air time and subscribed for your but havent received my minutes 	None
1099702362237820928	mtn whats wrong with your internet service today i dont know if i am the only one 	None
1099743936384589824	ive so had enough of mtn yeeerrrr your internet is slow maarn 	None
1100972900008542208	umemeltd mtn the issue was solved thank you 	None
1100973279219773441	mtn data thuggery is back again it aint normal uccofficial 	None
1101140426805993473	mtn you will always remain the best 	None
1101174925132550145	mtn this is the message that phone brings and you are there bragging that your system is working style up 	None
1101205644869292032	edwinejnr edwin mtn is my father mother son friend and my provider always i had my first smartphone from mtn 	None
1101400792404234240	mtn tweet help made an mm transaction but got no transaction id your quick response will be highly appreciated 	None
1101437032679776257	mtn thanks mtngreat job 	None
1101467271745208320	mtn airtel your mobile money systems for the agents should also ask for the senders phone number so the sender can be notified of successful money send at the moment unless i call the recipient i leave the counter with a weird feeling of uncertainty feel me 	None
1101480954797932545	mtn thank you mtn satisfied 	None
1101507058409635840	mtn please convince me that you have some amazing data plans because the urge to cross over to the red corner is getting overwhelming that gb for k going for days and their freaky friday biashara has me side eying them all day ball is in your court now 	None
1101591485441548288	mtn voice calls are the worst most times network is and internet is at edge of the time i literally have to move about to look for signalstrength 	Negative
1101725812812849152	i dont know what uganda did to deserve services as good and efficient as mtnugs you guys are the best thank you 	None
1101856013320376325	am in but am fully enjoying mtnugs network as if am around bugolobi satisfied kyokka the one seated next to me is fighting with his g 	None
1101900165248679936	have been trying to buy yaka since pm this afternoon mtn and umemeltd seriously can we ever get a reliable system service eeeeiiiieee 	None
1101900901411942400	mtn thank you so much 	None
1101900901625880576	mtn thank you so much 	None
1101902115696492545	mtn hi guys is your mobile payments system down been battling to pay for dstvuganda with no success 	None
1101905328629792769	mtn i sent money using a mm agent it was received but later disappeared it doesnt even reflect on the mini statement how can i be helped regards 	None
1101931604988051457	mtn thanks mtn for the feedback its all good now ive managed to purchase the yaka 	None
1101935184415461377	ksheebah rocking kabale people mtn thanks for fulfilling the promise it was fire 	None
1101950224749211648	this is not fair mtn nt even opening my apps this is so unfair you have decided to treat me the way airtel did let me try other networks i see 	None
1102094302270894081	i would like to thank uccofficial and mtn for having coverage in the most rural of places openhands you have saved many city raised folks 	Positive
1102423677608562688	mtn why cant i make phone calls its now two days 	None
1102545333308084225	its been two weeks now since mtn blocked my mm account alleging that i received money wrongly i explained to them that i expected this money and so had rightly been paid by organization x the org wrote to them confirming this but my account is still blocked up to now pout 	None
1102546269757677569	i have money stuck on this account i have written to mtn several times but i dont know why they have ignored my cry i thought this impunity had stopped with bkabumbas but as it appears they never stop pout 	None
1102784600202506245	mtn i have never subscribed to mokash auto savingsyou chopped my money in the nighti need it back 	None
1102854176357400576	boda in regards to mtn ive been able to effectively communicateamp network with my clients this has boosted salesampincreases audience awareness of the producethis hustle has equipped me with skills firstamp foremosthelped me to acquire self dependence as well 	None
1102863166067871744	mtn safeboda for sure with mtn pulse has helped me to have enough data to call up the safe boda 	None
1102877911948906497	this mtn g is a lie the thing is so slow its even worse than the g ehhh chisos 	None
1102890430558031874	mussly mtn airtel g is worse 	None
1103012428336517121	hello mtn i thank because even if my bundle has expired i cant still use safeboda app without data because of that am never late for work and lectures 	None
1103023789107929089	mtn good evening my fellow ugandan i need urgent answers to these puzzles i have been a customer on this network for years i even do not but to my surprise we the old clients are treated with disgrace when it comes to data usage the new numbers are having an upper 	None
1103159469230436354	and yet with mtn superfast g internet here the entire parliament can view a live video presentation in hd from the manufacturers or would they rather physically inspect kickkick the tyres to check whether the pressure is right et cetera 	None
1103169468321185792	mtn do better thanks 	None
1103187304594767873	mtn which number is this that always wants to cheat me everytime am buying data or ott using the app for my self i get the notification to pay to and i cancel can u pliz rectify that issue 	None
1103199320717869057	georginanaluzze mtn well done amp keep winning maam clap 	None
1103235118280396801	for whichever hustle you are into gb of mtn data and k safeboda credit can be such a boast is ladies take some time and talk about your gig hustle and work lets more reason to celebrate its more pointdown 	None
1103255628716355585	mtn mymtn app is not working server issues 	None
1103260369663987712	mtn is the shittiest network periodt mtn 	Negative
1103282906141724672	mtn you sent me a text at hrs that i would get free mb if i bought data using mtn mobile money well i have bought the data but i dont see the bonus was it a trick to get me to buy data 	None
1103286159130718214	mtn what happened to your message function i am not receiving or sending messages for weeks now 	None
1103310276005412869	mtn pitty those still using mtn for data 	None
1103338235399413760	mtn why cant i make any calls using my line 	None
1103340142595661824	mtn is the big deal g u l u 	None
1103354472435191808	mtnugcare mtn why do you deduct my airtime of a service not fulfilled not sent 	None
1103357039017902084	mtn subscribed for gaga and nothing upto now 	None
1103372641388376070	mtn i have just subscribed for a bundle but i cant see the mbs any help now 	None
1103586261804175360	dear mtn this message is to thank you for rendering your commercial services to us ever since amp express my gratitude for your successful commercial services your selfless work is worthy of acknowledgement tumwebaze akram graphics designer ricofin uganda ltd 	None
1103586782401171457	after about and a half months of trying my tidal is finally working again thank you mtn even when it took you forever to help me out was super technical today 	None
1103607087517650944	g what kind of sorcery is this africell i had to climb a tree just to get g with mtn thank god my monkey days are over 	None
1103650466620207108	mtn thanks for the gb womens day gift kirabo 	None
1103696041831030784	mtn anthony am tired of always having to send u guys my number every time i am one very loyal customer to u despite being mistreated i hope one day we dont divorce 	None
1103719909283033089	africell here i come hearteyes bye mtn see you when you can make this offer its been a good journey slightlyfrowningface 	None
1103722776903499781	mtn why yall keep sending me ott messages every time i use the mymtn app thinking 	None
1103749171247529984	am lately developing a quite distinctive hatred for airtelugada internet and worse still mtn isnt any better astonished fearful cry sweat coldsweat mask 	None
1103769988656234498	thanks to mtn has helped us keep in touch with our clients at an affordable cost thanks to safeboda for the percentage discount that comes with credit deliveries have never been easier 	None
1103927082428510212	thank you so much mtn im gon na have a smooth time with free gb data to market my products connect with my clients and complete purchases online thank you safeboda time to get these goodies delivered thank you tweeps for the rts lines and comments 	None
1103985301352038400	mtn wow am so happy for this offer thank u mtn 	None
1104010477888290816	mtn and its ayo insurance partner are sick fraudsters i had a small issue with details but they refused to help me rectify it until i gave upafter sucking my hard earned money from me for months whether they pay or not ive no factsbut if they do only to a few 	None
1104066448006221825	mtn whatsap with r network am trying to buy data and its failing network so shyty work on it plz 	Negative
1104088471822577665	mtn i had a similar experience a few days ago i called your service center and said they would on it its now days and nothing has changed i tried again today but same experience wheres the money disappearing to mtn 	None
1104112330118451202	mtn how do i use mbs in less than an hour with just whatsapp and twitter useage your data runs too quick 	None
1104113460596670470	whatsup with the mm network mtn 	None
1104228809883222016	mtn whats happening to your mobile money system weve got work to do and money to make 	None
1104306786713112576	mtn whats the problem with your internet network customercare 	Negative
1104376473702580225	mtn g is far better than airtel g internet speeds come beat me if you can 	None
1104493620571369472	hello mtn i cant access my mobile money are there any upgrades going on expressionless 	None
1104646735400484864	your network today sucks so much i feel like throwing away my fone right now mtn in the shot screen you seeyou are line one without any bar of signal please work on the network issue bambi angry 	Negative
1104841472694800384	mtn how slow does your mifi get its less than one month old btw i have a lot of bundles but i can hardly do anything right now what is the problem 	None
1105008947902275589	mtn i already have everything blocked but i am getting this everytime i switch on my data and every after mins 	None
1105024991018532864	mtn is something else no customer care at all its like they dont know what they are doing 	None
1105031104380260357	there is something bout mtns network today that daint feel right internet is jumpy mtn 	Negative
1105071272969551873	mtnugcare mtn someone please help me underatand thisits not like am streaminganything 	None
1105080664477630464	mtn africe there is no network in this subcounty that has a population of over as per ubos population stats they are lagging in development and network access could help them have sustanable development follow 	Negative
1105089131519111169	mtn but your data runs so very first just a few mins of using it and u get amsg of how ubhsv used 	None
1105094605056421889	mtn i really like your internet mtn it is super fast amp affordable i have to use it everyday it has seriously made my business to grow please keep it up 	None
1105094813697933313	i really like your internet mtn it is super fast amp affordable i have to use it everyday it has seriously made my business to grow please keep it up 	None
1105150289877848065	mtn the rate of call failure on your network is unfortunate even after updates purchase of iphone xs one cant have a conversation with out call failure or call dropping 	Negative
1105186905824595968	i didnt realize the actual mtn g was in gulu until today this is real speedim in live 	None
1105189260611727362	mtn temutawana its very unstable n slow i went back to my roots of africell 	None
1105367711117426688	riyale how do you drop someone from mbps for kpbs unless your actual mission is to cripple them i think im done with your limited unlimited internet mtn 	None
1105415116638564352	mtn hi mtn your service has been so terrible for now months it has been disturbing me even in my own home here in jinja i dont receive any network my gg never works i buy mbs and yet nothing ever loads please change something before i transfer to another network 	Negative
1105537915747291138	mtn nngpssn the internet is poor now days what could be the problem 	None
1105543018063556608	mtn i am on g but the internet is always on and off and when i go to fort portal cant imagine areas around town have no network completely pensive 	None
1105544799149572097	working mostly on social media means im on the internet all the time thats where mtn comes in for making it possible for me to be online all the time at an affordable price you guys are heros 	None
1105761786962288640	ugblog mtn you can request for a safeboda even when you run out of data however this only applies if you use mtn data and are also using your frequently used places on the application 	None
1105868395118034950	but really mtn are becoming real thieves i bought only received whatsapp msg and they sent me a msg mbu i have used up my bundle really mtn god is seeing you 	None
1105869526728671233	mtn its and its taking me more than minutes to upload a photo on facebook while i am on g whats this thing youre calling internet 	None
1105899985252556806	mtn are you having any problems with your internet 	None
1105916530934591489	mtn u fools should cancel the option of paying for yaka on your network cause you never have token nombas always telling us nonsense of da machine is faulty wen u use other networks you immediately get token nombas just refund my money done with this shitty network taking on 	Negative
1105916809893634050	mtn what is wrong with your network are you under siege 	Negative
1105934400741670920	after closing the boarders kagame has tapped our network with the satellite he launchedmtnug tell me why my network is poor i cant share pictures 	Negative
1105965867823706112	mtn im here to mainly complain whats the explanation of me having mbs i open a webpage and im reading no single download streaming video or audio simply reading an article without even pictures and in minutes the data is used up yet no other app is open thinking 	None
1106025033326084097	mtn your network is agitating me its been several hours for goodness sake 	Negative
1106084305233694720	mtn i cant access my mobile money why 	None
1106137339733180416	today i am not receiving g but rather gyet i am kampala mtn if i was in abim would i even access internet 	Negative
1106140576947290114	atimcharlotte mtn talk about super slow internet whats up sweat unamused 	None
1106143554999595009	mtn is there a problem with mobile internet 	None
1106143664416452610	mtn mtnugcare am unable to access internet using your network despite having valid bundles and ott please update us with what is going on 	Negative
1106168218434064384	mtn thanks for the quick response pray 	None
1106193642081923073	mtn i didnt pay for data and ott tax for such kinda shyt network 	None
1106244378727796738	jerryjones am also wonderingevery day when it clocks pmmtnug network goes to sleep too 	Negative
1106247251041619968	mtn data is starting to become painful to use angry 	None
1106247372743626752	but mtn this is getting out of hand my whatsapp was slowing down but i thought it could be a problem from whatsapp servers and now also twitter this is clearly a problem from you 	None
1106248986934079488	mtn tumwesigye the internet is slow amp no restarting the phone doesnt help 	None
1106278247157895173	times like this when i wish africell had all sites covered with g coz honestly mtn internet sucks flushed pout triumph 	None
1106282792260898816	mtn connection is very slow i cant send emails cant even upload any videos 	None
1106297387415408654	mtn y is the network slow 	Negative
1106387576955592707	warbae mtn we are really not getting value for our money 	None
1106423885237551105	mtn wondering how long it takes for the ayo team to work upon your claim i lodged in my claim a week back but no reply and no acknowledgement for receipt of my claim justbeingcurious 	None
1106429589478350848	mtn dear mtn mtnugcare just loaded k worth mins voice bundles i immediately dial n find mins me as omuntu wawansi my k doesnt come easy when i load mins which u annoyingly cut from mins i need use every min next tym e ill sue 	None
1106429834035675137	mtnugcare dear mtn mtn just loaded k worth mins voice bundles i immediately dial n find mins me as omuntu wawansi my k doesnt come easy when i load mins which u annoyingly cut from mins i need use every min next tym e ill sue 	None
1106435095513260032	atimcharlotte mtn in places like abim internet is fast due to the few number of users compared to kampala which has a lot of users this causes network traffic 	None
1106437824755236864	mtn hello i opted out of your notices as we discussed but now youve decided to send me your ott messages every minutes mwedekko 	None
1106449668618289152	how do i stop this alert of paying ott from coming mtn this is harrasment ill decide when i want to pay ott 	None
1106468552951975936	mtn mtnugcare kindly stop this reminders of ott its not your duty to remind us to pay taxes unless ura has delegated you to do so you blocked access to social media unless someone pays or uses vpn kindly stop these annoying and frequent messages thank you 	None
1106487059840143360	so mtn is depriving customers using vpn stable network this unnecessary alluring of customers to pay ott is bad for your reputation otherwise you will lose a loyal customer stop this 	None
1106488116481847297	mtn your network is annoyingly slow its frustrating to have slow internet 	None
1106488793077612544	mtn we also need to get one in bunga kawuku i can barely surf when i am home just know its painful please you guys need to do something 	None
1106565218547757059	sandrabwengye mtn its been slow this past week some sort of general complaint 	None
1106566996517404672	mtn the internet is either off or slow 	None
1106579864470147072	lubowami mtn let them renovate the internet too super slow stuff 	None
1106602895426883585	mtn stop taking your customers for granted dialed the code i mentioned clearly option and isnt working so check and fix dont act like madman anthony 	None
1106603818660319234	mtn i want to stop notifications coming to my number and its really annoying when you pretend to know instead of trying the code anf fix 	None
1106620120909139974	mtn most valuable tweets are not normally replied lets just leave pie as pie if the service becomes back to normal we will return to it good evening ronald 	None
1106649198508867584	feels like a very long time ago when we once used to rave over mtn s gaga bundles africell swift bundle is now the new babe on the block how times change products that dont evolve will eventually be dumped by clients 	None
1106657412407349249	lydiahjazmine mtn its too much stop raisedhand 	Negative
1106658522610192387	even if u offer gb siva ku mtn 	Positive
1106844636386070528	mtn just purchased two tickets using momo pay but havent received any code confirmation message whatever it is 	None
1106863822466400256	naye mtn honestly wtf is wrong with you youre honestly frustrating us with your shitty network i cant even open my notifications like wtf smirk 	None
1107052500979462144	what is wrong with mtn i cant put my pakapaka bundles am pissed 	None
1107181314686492672	mtn wth im not putting the data for you guys 	None
1107232928390696961	dear mtn im in deep pain tweeting this using airtel internet especially because i loaded an unlimited bundle on my mtn line a few hours ago about i need to know why this is happening why cant i even send a tweet using unlimited internet 	None
1107259578855669760	airtel i almost cried today topping a data bundle of mbs and in the first two minutes they were done i wasnt streaming or even downloading how much is an mtn line mtn 	Negative
1107526388901384193	birthday thread nb am happy joy thank you airtel and mtn for the birthday wishes naye mumpereze ebintu ebikalu ive been loyal and supportive as you claim for the last years silya message sagala kuntabula 	None
1107584132744429568	mtn is there a way to block these annoying messages why should i get the same message three times in a space of less than a minute 	None
1107636027412410368	mtn i will appreciate it if u stopped sending me such sms i dont know who burna boy is and i dont care about him or her plizzz stop 	None
1107755063722893312	mtn you lot are good thieves too yellow in colour like nrm my data just went missing like a ghost 	Negative
1107912115766132736	dear mtn is there a way you could stop sending me ott related promos and messages 	None
